Date,CPG
1/1990,0.7830695110359054
2/1990,0.7093959535737654
3/1990,0.655737485433307
4/1990,0.6205714900596915
5/1990,0.5900602232456437
6/1990,0.5649534862946257
7/1990,0.5637079613736985
8/1990,0.6863163232024764
9/1990,0.8845929384201254
10/1990,1.1136562074676422
11/1990,1.0893449102213317
12/1990,0.945563750261988
1/1991,0.8706555383344424
2/1991,0.768025757448706
3/1991,0.6629864736178975
4/1991,0.6084132055421445
5/1991,0.6111563134489587
6/1991,0.603378724386908
7/1991,0.6020568104118443
8/1991,0.6327340474318495
9/1991,0.6714346694968222
10/1991,0.6897321303375438
11/1991,0.6959037931864943
12/1991,0.6371446085464522
1/1992,0.5727462675586908
2/1992,0.5791015090452711
3/1992,0.5686847178721038
4/1992,0.5794107461115222
5/1992,0.6117683501470659
6/1992,0.6392560879676357
7/1992,0.65389806671326
8/1992,0.6473827796800032
9/1992,0.6447019381369118
10/1992,0.6622400194040163
11/1992,0.6379290015767203
12/1992,0.609873583586739
1/1993,0.594172733364692
2/1993,0.6062012552550007
3/1993,0.609770159755004
4/1993,0.6043466732528149
5/1993,0.6010533115092506
6/1993,0.5933596853644241
7/1993,0.5639984915036872
8/1993,0.570584261431831
9/1993,0.5683392270413617
10/1993,0.598217557098642
11/1993,0.5990902644753846
12/1993,0.542509135947379
1/1994,0.5336557584222658
2/1994,0.5581102002591035
3/1994,0.536935488885677
4/1994,0.5198260988268252
5/1994,0.5298966158546278
6/1994,0.518107205768417
7/1994,0.5348514219189684
8/1994,0.5495383558927747
9/1994,0.5504896855768043
10/1994,0.5529716173637633
11/1994,0.5708047633918363
12/1994,0.5513278684825674
1/1995,0.5378928971856666
2/1995,0.5330537646681902
3/1995,0.5157402713679814
4/1995,0.5271107504698229
5/1995,0.5473013478466642
6/1995,0.5353863478076227
7/1995,0.5265411481698257
8/1995,0.5405909608140981
9/1995,0.5582364255848439
10/1995,0.5641938900225781
11/1995,0.5712349541922348
12/1995,0.5915301398373486
1/1996,0.6119863478296392
2/1996,0.633546169186481
3/1996,0.5948896277898668
4/1996,0.6458017901036589
5/1996,0.6333639652168735
6/1996,0.5832296944414996
7/1996,0.5984148026218227
8/1996,0.63693393113791
9/1996,0.6844235573751669
10/1996,0.7043444835338349
11/1996,0.71117074603513
12/1996,0.7342835337756378
1/1997,0.7407186478821358
2/1997,0.7280780798469655
3/1997,0.6534576746589676
4/1997,0.6246566643385202
5/1997,0.6067467269312405
6/1997,0.5981758218132925
7/1997,0.5874375582646792
8/1997,0.6052941775009942
9/1997,0.5974074503031502
10/1997,0.6130460750148147
11/1997,0.6259875792640178
12/1997,0.5975997614466474
1/1998,0.5688816747148117
2/1998,0.5476443375409916
3/1998,0.5111801922866445
4/1998,0.5110830420914687
5/1998,0.5039274478353507
6/1998,0.48469578723997764
7/1998,0.48777239545052536
8/1998,0.4832463512541712
9/1998,0.4845866700708117
10/1998,0.49810574463377993
11/1998,0.49742049407977773
12/1998,0.45617008365009515
1/1999,0.4431149165473954
2/1999,0.4420344532435164
3/1999,0.43704197960963875
4/1999,0.4741777421395789
5/1999,0.47188572451900557
6/1999,0.49616105319356585
7/1999,0.5094647724152435
8/1999,0.5425759225128268
9/1999,0.5598041212041197
10/1999,0.592330720860217
11/1999,0.6039176746676446
12/1999,0.6288784861739757
1/2000,0.7051361793051161
2/2000,0.7351849726098844
3/2000,0.7511667515649342
4/2000,0.7421234884612561
5/2000,0.7187504969537122
6/2000,0.6948339581242762
7/2000,0.7666186569504404
8/2000,0.7892157690053392
9/2000,0.8581654932978671
10/2000,0.8913566040000662
11/2000,0.8859735850908428
12/2000,0.9105227126347251
1/2001,0.8574445618041514
2/2001,0.8463190309531651
3/2001,0.7955190956387783
4/2001,0.7752103546344299
5/2001,0.810250743811897
6/2001,0.8073905645913181
7/2001,0.7746356024340856
8/2001,0.7655761993761077
9/2001,0.7954754741097986
10/2001,0.7099607885890873
11/2001,0.6604783972156767
12/2001,0.5699200361431678
1/2002,0.599962186871416
2/2002,0.6169853306154344
3/2002,0.6177015288459037
4/2002,0.6932646401878152
5/2002,0.7006157748435049
6/2002,0.6690728191659419
7/2002,0.7072593094327989
8/2002,0.7231158466912165
9/2002,0.7683352813281302
10/2002,0.8104661305690842
11/2002,0.7696491322910194
12/2002,0.7622510494486613
1/2003,0.8367656826105977
2/2003,0.8870277807042988
3/2003,0.9871391978272368
4/2003,0.8314886367501974
5/2003,0.7622674729954807
6/2003,0.7517017871741246
7/2003,0.7826370900006574
8/2003,0.8286051634822179
9/2003,0.8037832718954463
10/2003,0.8172952192742885
11/2003,0.8440142926657049
12/2003,0.8817587175804391
1/2004,0.9516948820815156
2/2004,0.9703054847833299
3/2004,0.9825831353536009
4/2004,1.0027987911676672
5/2004,1.0817979064063434
6/2004,1.0736468127631078
7/2004,1.1141901117472637
8/2004,1.1794820829403174
9/2004,1.2424858276702537
10/2004,1.3847579523006919
11/2004,1.3672965249353333
12/2004,1.2789051732259376
1/2005,1.3124768553952106
2/2005,1.3155550746996554
3/2005,1.4507189287296944
4/2005,1.5573806915251474
5/2005,1.5148721949599657
6/2005,1.5544830427700773
7/2005,1.6095377280395984
8/2005,1.793153379505237
9/2005,1.8978527087163488
10/2005,2.153949491885625
11/2005,1.8621838764025695
12/2005,1.6955858128273409
1/2006,1.7969086730226567
2/2006,1.822117028273543
3/2006,1.8098578584920768
4/2006,1.9063717986014364
5/2006,2.045447816869849
6/2006,2.0580804832990305
7/2006,2.0827568227930366
8/2006,2.125877644327842
9/2006,1.986280646731809
10/2006,1.8642532228486541
11/2006,1.8077777529406422
12/2006,1.8629804239487915
1/2007,1.81673711265453
2/2007,1.7468184367972612
3/2007,1.8166562152974062
4/2007,1.9442277294271493
5/2007,2.0458012177026914
6/2007,2.0307713044730966
7/2007,2.096099302658685
8/2007,2.124835842424356
9/2007,2.1094788650400864
10/2007,2.2119199301528045
11/2007,2.44578949861671
12/2007,2.502392756527413
1/2008,2.567236339086051
2/2008,2.5499986605162275
3/2008,2.864931943381299
4/2008,2.973444970308409
5/2008,3.1929205193506194
6/2008,3.403536379045159
7/2008,3.6980037750808
8/2008,3.404971244487851
9/2008,3.3356252274974527
10/2008,3.1857574528224184
11/2008,2.5010290433220863
12/2008,1.979566893784803
1/2009,1.7584484859270115
2/2009,1.8431876056921057
3/2009,1.6422156439077125
4/2009,1.7410004538211568
5/2009,1.7365415939985644
6/2009,1.9050150205205885
7/2009,1.911655802498646
8/2009,2.0283377919299483
9/2009,1.9950769237657568
10/2009,1.9998963927655617
11/2009,2.144121195348392
12/2009,2.122737047600697
1/2010,2.2143512014231526
2/2010,2.1558927673099593
3/2010,2.2058734469023524
4/2010,2.304974132439477
5/2010,2.331584899391491
6/2010,2.181524069324383
7/2010,2.21210501406004
8/2010,2.228078752455726
9/2010,2.1848416097650043
10/2010,2.3534935693110937
11/2010,2.4089526715256286
12/2010,2.4703881122853404
1/2011,2.6356536933448265
2/2011,2.7770820451490326
3/2011,3.0289075920704427
4/2011,3.208407903172061
5/2011,3.2454478607509274
6/2011,3.129650551702092
7/2011,3.107731345671617
8/2011,3.1246681563217957
9/2011,3.1764924164277275
10/2011,3.0014115815671327
11/2011,3.09959895197431
12/2011,3.08075450188295
1/2012,3.140908928887169
2/2012,3.245222188528766
3/2012,3.329959886970362
4/2012,3.343494411596097
5/2012,3.239293910790272
6/2012,2.9901958470024477
7/2012,2.9566048958152344
8/2012,3.087243114878147
9/2012,3.257818017444522
10/2012,3.2958956741706382
11/2012,3.175304065107013
12/2012,3.122810679864521
1/2013,3.1218485663339037
2/2013,3.2866776713401014
3/2013,3.20167597536591
4/2013,3.0500560484315193
5/2013,2.919181624374609
6/2013,2.9014180946909147
7/2013,2.917619569950193
8/2013,3.0523038243047935
9/2013,3.0867224503022093
10/2013,3.04638938832798
11/2013,3.0203371775573595
12/2013,3.0310211594103333
1/2014,3.0971062421647817
2/2014,3.050715684344223
3/2014,3.0103064677309543
4/2014,2.98533819453326
5/2014,2.9942619274100712
6/2014,2.9778601843095616
7/2014,3.002344393807786
8/2014,2.9855524234444153
9/2014,2.8933684579917527
10/2014,2.6966176785506453
11/2014,2.5798350120192866
12/2014,2.3188227854478236
1/2015,1.9412507445781046
2/2015,2.230494007400654
3/2015,2.0108108969456993
4/2015,1.9272786177210905
5/2015,2.096136107961423
6/2015,2.0468295201224156
7/2015,1.834036039843259
8/2015,1.6849422919343215
9/2015,1.6028005172078237
10/2015,1.6413333762179296
11/2015,1.5750544789298913
12/2015,1.449640503361423
1/2016,1.2942590408671495
2/2016,1.2442549944508772
3/2016,1.284326949409034
4/2016,1.3347525898566819
5/2016,1.4351381279105329
6/2016,1.7946394215624324
7/2016,1.5063485055432089
8/2016,1.4459538548840163
9/2016,1.485237965881606
10/2016,1.5923314128861628
11/2016,1.4556838174482893
12/2016,1.611909461014872
1/2017,1.6496212116790445
2/2017,1.7090179237329512
3/2017,1.654143484148696
4/2017,1.6642825701664075
5/2017,1.6074951662861556
6/2017,1.5391856947648657
7/2017,1.5566771167477498
8/2017,1.6507496783079254
9/2017,1.8125939135816405
10/2017,1.824706756723862
11/2017,1.8771102256998382
12/2017,1.9128360371499795
1/2018,2.023365411729212
2/2018,2.0283638244381526
3/2018,1.9617448832207194
4/2018,2.0819046762409976
5/2018,2.1894068199726884
6/2018,2.2082053343609425
7/2018,2.1976366116379378
8/2018,2.1971638240593663
9/2018,2.238115796632781
10/2018,2.3471231168445126
11/2018,2.2569092714082846
12/2018,2.035415998189904
1/2019,1.9167729205120931
2/2019,1.9976042875711766
3/2019,2.0315615450914564
4/2019,2.0651559593143247
5/2019,2.1228507561000733
6/2019,2.000705544663513
7/2019,1.9946629950268997
8/2019,1.9455212461704225
9/2019,1.9690584957100423
10/2019,1.9776218173487297
11/2019,1.99949425538782
12/2019,2.02104114648639
1/2020,1.9901125386649088
2/2020,1.7992154043155202
3/2020,1.4647284789094726
4/20,1.45
