Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
1/1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1990,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1990,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9/1990,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10/1990,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11/1990,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
12/1990,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1/1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2/1991,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/1991,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/1991,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1992,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/1992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1992,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/1996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
