date,nonfarm-payroll
1/1990,109199
2/1990,109435
3/1990,109644
4/1990,109686
5/1990,109839
6/1990,109856
7/1990,109824
8/1990,109616
9/1990,109518
10/1990,109367
11/1990,109214
12/1990,109166
1/1991,109055
2/1991,108734
3/1991,108574
4/1991,108364
5/1991,108249
6/1991,108334
7/1991,108292
8/1991,108310
9/1991,108336
10/1991,108357
11/1991,108296
12/1991,108328
1/1992,108369
2/1992,108311
3/1992,108365
4/1992,108519
5/1992,108649
6/1992,108715
7/1992,108793
8/1992,108925
9/1992,108959
10/1992,109139
11/1992,109272
12/1992,109495
1/1993,109794
2/1993,110044
3/1993,109994
4/1993,110296
5/1993,110568
6/1993,110749
7/1993,111055
8/1993,111206
9/1993,111448
10/1993,111733
11/1993,111984
12/1993,112314
1/1994,112595
2/1994,112781
3/1994,113242
4/1994,113586
5/1994,113921
6/1994,114238
7/1994,114610
8/1994,114896
9/1994,115247
10/1994,115458
11/1994,115869
12/1994,116165
1/1995,116501
2/1995,116697
3/1995,116907
4/1995,117069
5/1995,117049
6/1995,117286
7/1995,117380
8/1995,117634
9/1995,117875
10/1995,118031
11/1995,118175
12/1995,118320
1/1996,118316
2/1996,118739
3/1996,118993
4/1996,119158
5/1996,119486
6/1996,119769
7/1996,120015
8/1996,120199
9/1996,120410
10/1996,120665
11/1996,120961
12/1996,121143
1/1997,121363
2/1997,121675
3/1997,121990
4/1997,122286
5/1997,122546
6/1997,122814
7/1997,123111
8/1997,123093
9/1997,123585
10/1997,123929
11/1997,124235
12/1997,124549
1/1998,124812
2/1998,125016
3/1998,125164
4/1998,125442
5/1998,125844
6/1998,126076
7/1998,126205
8/1998,126544
9/1998,126752
10/1998,126954
11/1998,127231
12/1998,127596
1/1999,127702
2/1999,128120
3/1999,128227
4/1999,128597
5/1999,128808
6/1999,129089
7/1999,129414
8/1999,129569
9/1999,129772
10/1999,130177
11/1999,130466
12/1999,130772
1/2000,131005
2/2000,131124
3/2000,131596
4/2000,131888
5/2000,132105
6/2000,132061
7/2000,132236
8/2000,132230
9/2000,132353
10/2000,132351
11/2000,132556
12/2000,132709
1/2001,132698
2/2001,132789
3/2001,132747
4/2001,132463
5/2001,132410
6/2001,132299
7/2001,132177
8/2001,132028
9/2001,131771
10/2001,131454
11/2001,131142
12/2001,130982
1/2002,130852
2/2002,130736
3/2002,130717
4/2002,130623
5/2002,130634
6/2002,130684
7/2002,130590
8/2002,130587
9/2002,130501
10/2002,130628
11/2002,130615
12/2002,130472
1/2003,130580
2/2003,130444
3/2003,130232
4/2003,130177
5/2003,130196
6/2003,130194
7/2003,130191
8/2003,130149
9/2003,130254
10/2003,130454
11/2003,130474
12/2003,130588
1/2004,130769
2/2004,130825
3/2004,131142
4/2004,131411
5/2004,131694
6/2004,131793
7/2004,131848
8/2004,131937
9/2004,132093
10/2004,132447
11/2004,132503
12/2004,132624
1/2005,132774
2/2005,133032
3/2005,133156
4/2005,133518
5/2005,133690
6/2005,133942
7/2005,134296
8/2005,134498
9/2005,134566
10/2005,134655
11/2005,134993
12/2005,135149
1/2006,135429
2/2006,135737
3/2006,136047
4/2006,136205
5/2006,136244
6/2006,136325
7/2006,136520
8/2006,136694
9/2006,136843
10/2006,136852
11/2006,137063
12/2006,137249
1/2007,137477
2/2007,137558
3/2007,137793
4/2007,137842
5/2007,137993
6/2007,138069
7/2007,138038
8/2007,138015
9/2007,138095
10/2007,138174
11/2007,138284
12/2007,138392
1/2008,138403
2/2008,138324
3/2008,138275
4/2008,138035
5/2008,137858
6/2008,137687
7/2008,137491
8/2008,137213
9/2008,136753
10/2008,136272
11/2008,135545
12/2008,134839
1/2009,134055
2/2009,133312
3/2009,132512
4/2009,131817
5/2009,131475
6/2009,131008
7/2009,130668
8/2009,130485
9/2009,130244
10/2009,130045
11/2009,130057
12/2009,129788
1/2010,129790
2/2010,129698
3/2010,129879
4/2010,130110
5/2010,130650
6/2010,130511
7/2010,130427
8/2010,130422
9/2010,130357
10/2010,130625
11/2010,130750
12/2010,130822
1/2011,130841
2/2011,131053
3/2011,131288
4/2011,131602
5/2011,131703
6/2011,131939
7/2011,131999
8/2011,132125
9/2011,132358
10/2011,132562
11/2011,132694
12/2011,132896
1/2012,133250
2/2012,133512
3/2012,133752
4/2012,133834
5/2012,133934
6/2012,134007
7/2012,134159
8/2012,134331
9/2012,134518
10/2012,134677
11/2012,134833
12/2012,135072
1/2013,135263
2/2013,135541
3/2013,135680
4/2013,135871
5/2013,136093
6/2013,136274
7/2013,136386
8/2013,136628
9/2013,136815
10/2013,137040
11/2013,137304
12/2013,137373
1/2014,137548
2/2014,137714
3/2014,137968
4/2014,138293
5/2014,138511
6/2014,138837
7/2014,139069
8/2014,139257
9/2014,139566
10/2014,139818
11/2014,140109
12/2014,140377
1/2015,140568
2/2015,140839
3/2015,140910
4/2015,141194
5/2015,141525
6/2015,141699
7/2015,142001
8/2015,142126
9/2015,142281
10/2015,142587
11/2015,142824
12/2015,143097
1/2016,143170
2/2016,143433
3/2016,143662
4/2016,143849
5/2016,143891
6/2016,144158
7/2016,144512
8/2016,144647
9/2016,144916
10/2016,145061
11/2016,145212
12/2016,145442
1/2017,145627
2/2017,145815
3/2017,145944
4/2017,146141
5/2017,146296
6/2017,146512
7/2017,146727
8/2017,146911
9/2017,146929
10/2017,147196
11/2017,147421
12/2017,147551
1/2018,147672
2/2018,148078
3/2018,148254
4/2018,148391
5/2018,148669
6/2018,148888
7/2018,149024
8/2018,149268
9/2018,149348
10/2018,149549
11/2018,149683
12/2018,149865
1/2019,150134
2/2019,150135
3/2019,150282
4/2019,150492
5/2019,150577
6/2019,150759
7/2019,150953
8/2019,151160
9/2019,151368
10/2019,151553
11/2019,151814
12/2019,151998
1/2020,152212
2/2020,152463
3/2020,151090
4/2020,130303
5/2020,133002
6/2020,137802
