Date,lab
1/1990,125833.0
2/1990,125710.0
3/1990,125801.0
4/1990,125649.0
5/1990,125893.0
6/1990,125573.0
7/1990,125732.0
8/1990,125990.0
9/1990,125892.0
10/1990,125995.0
11/1990,126070.0
12/1990,126142.0
1/1991,125955.0
2/1991,126020.0
3/1991,126238.0
4/1991,126548.0
5/1991,126176.0
6/1991,126331.0
7/1991,126154.0
8/1991,126150.0
9/1991,126650.0
10/1991,126642.0
11/1991,126701.0
12/1991,126664.0
1/1992,127261.0
2/1992,127207.0
3/1992,127604.0
4/1992,127841.0
5/1992,128119.0
6/1992,128459.0
7/1992,128563.0
8/1992,128613.0
9/1992,128501.0
10/1992,128026.0
11/1992,128441.0
12/1992,128554.0
1/1993,128400.0
2/1993,128458.0
3/1993,128598.0
4/1993,128584.0
5/1993,129264.0
6/1993,129411.0
7/1993,129397.0
8/1993,129619.0
9/1993,129268.0
10/1993,129573.0
11/1993,129711.0
12/1993,129941.0
1/1994,130596.0
2/1994,130669.0
3/1994,130400.0
4/1994,130621.0
5/1994,130779.0
6/1994,130561.0
7/1994,130652.0
8/1994,131275.0
9/1994,131421.0
10/1994,131744.0
11/1994,131891.0
12/1994,131951.0
1/1995,132038.0
2/1995,132115.0
3/1995,132108.0
4/1995,132590.0
5/1995,131851.0
6/1995,131949.0
7/1995,132343.0
8/1995,132336.0
9/1995,132611.0
10/1995,132716.0
11/1995,132614.0
12/1995,132511.0
1/1996,132616.0
2/1996,132952.0
3/1996,133180.0
4/1996,133409.0
5/1996,133667.0
6/1996,133697.0
7/1996,134284.0
8/1996,134054.0
9/1996,134515.0
10/1996,134921.0
11/1996,135007.0
12/1996,135113.0
1/1997,135456.0
2/1997,135400.0
3/1997,135891.0
4/1997,136016.0
5/1997,136119.0
6/1997,136211.0
7/1997,136477.0
8/1997,136618.0
9/1997,136675.0
10/1997,136633.0
11/1997,136961.0
12/1997,137155.0
1/1998,137095.0
2/1998,137112.0
3/1998,137236.0
4/1998,137150.0
5/1998,137372.0
6/1998,137455.0
7/1998,137588.0
8/1998,137570.0
9/1998,138286.0
10/1998,138279.0
11/1998,138381.0
12/1998,138634.0
1/1999,139003.0
2/1999,138967.0
3/1999,138730.0
4/1999,138959.0
5/1999,139107.0
6/1999,139329.0
7/1999,139439.0
8/1999,139430.0
9/1999,139622.0
10/1999,139771.0
11/1999,140025.0
12/1999,140177.0
1/2000,142267.0
2/2000,142456.0
3/2000,142434.0
4/2000,142751.0
5/2000,142388.0
6/2000,142591.0
7/2000,142278.0
8/2000,142514.0
9/2000,142518.0
10/2000,142622.0
11/2000,142962.0
12/2000,143248.0
1/2001,143800.0
2/2001,143701.0
3/2001,143924.0
4/2001,143569.0
5/2001,143318.0
6/2001,143357.0
7/2001,143654.0
8/2001,143284.0
9/2001,143989.0
10/2001,144086.0
11/2001,144240.0
12/2001,144305.0
1/2002,143883.0
2/2002,144653.0
3/2002,144481.0
4/2002,144725.0
5/2002,144938.0
6/2002,144808.0
7/2002,144803.0
8/2002,145009.0
9/2002,145552.0
10/2002,145314.0
11/2002,145041.0
12/2002,145066.0
1/2003,145937.0
2/2003,146100.0
3/2003,146022.0
4/2003,146474.0
5/2003,146500.0
6/2003,147056.0
7/2003,146485.0
8/2003,146445.0
9/2003,146530.0
10/2003,146716.0
11/2003,147000.0
12/2003,146729.0
1/2004,146842.0
2/2004,146709.0
3/2004,146944.0
4/2004,146850.0
5/2004,147065.0
6/2004,147460.0
7/2004,147692.0
8/2004,147564.0
9/2004,147415.0
10/2004,147793.0
11/2004,148162.0
12/2004,148059.0
1/2005,148029.0
2/2005,148364.0
3/2005,148391.0
4/2005,148926.0
5/2005,149261.0
6/2005,149238.0
7/2005,149432.0
8/2005,149779.0
9/2005,149954.0
10/2005,150001.0
11/2005,150065.0
12/2005,150030.0
1/2006,150214.0
2/2006,150641.0
3/2006,150813.0
4/2006,150881.0
5/2006,151069.0
6/2006,151354.0
7/2006,151377.0
8/2006,151716.0
9/2006,151662.0
10/2006,152041.0
11/2006,152406.0
12/2006,152732.0
1/2007,153144.0
2/2007,152983.0
3/2007,153051.0
4/2007,152435.0
5/2007,152670.0
6/2007,153041.0
7/2007,153054.0
8/2007,152749.0
9/2007,153414.0
10/2007,153183.0
11/2007,153835.0
12/2007,153918.0
1/2008,154063.0
2/2008,153653.0
3/2008,153908.0
4/2008,153769.0
5/2008,154303.0
6/2008,154313.0
7/2008,154469.0
8/2008,154641.0
9/2008,154570.0
10/2008,154876.0
11/2008,154639.0
12/2008,154655.0
1/2009,154210.0
2/2009,154538.0
3/2009,154133.0
4/2009,154509.0
5/2009,154747.0
6/2009,154716.0
7/2009,154502.0
8/2009,154307.0
9/2009,153827.0
10/2009,153784.0
11/2009,153878.0
12/2009,153111.0
1/2010,153484.0
2/2010,153694.0
3/2010,153954.0
4/2010,154622.0
5/2010,154091.0
6/2010,153616.0
7/2010,153691.0
8/2010,154086.0
9/2010,153975.0
10/2010,153635.0
11/2010,154125.0
12/2010,153650.0
1/2011,153263.0
2/2011,153214.0
3/2011,153376.0
4/2011,153543.0
5/2011,153479.0
6/2011,153346.0
7/2011,153288.0
8/2011,153760.0
9/2011,154131.0
10/2011,153961.0
11/2011,154128.0
12/2011,153995.0
1/2012,154381.0
2/2012,154671.0
3/2012,154749.0
4/2012,154545.0
5/2012,154866.0
6/2012,155083.0
7/2012,154948.0
8/2012,154763.0
9/2012,155160.0
10/2012,155554.0
11/2012,155338.0
12/2012,155628.0
1/2013,155763.0
2/2013,155312.0
3/2013,155005.0
4/2013,155394.0
5/2013,155536.0
6/2013,155749.0
7/2013,155599.0
8/2013,155605.0
9/2013,155687.0
10/2013,154673.0
11/2013,155265.0
12/2013,155182.0
1/2014,155352.0
2/2014,155483.0
3/2014,156028.0
4/2014,155369.0
5/2014,155684.0
6/2014,155707.0
7/2014,156007.0
8/2014,156130.0
9/2014,156040.0
10/2014,156417.0
11/2014,156494.0
12/2014,156332.0
1/2015,157030.0
2/2015,156644.0
3/2015,156643.0
4/2015,157060.0
5/2015,157651.0
6/2015,157062.0
7/2015,156997.0
8/2015,157172.0
9/2015,156733.0
10/2015,157167.0
11/2015,157463.0
12/2015,158035.0
1/2016,158342.0
2/2016,158653.0
3/2016,159103.0
4/2016,158981.0
5/2016,158787.0
6/2016,158973.0
7/2016,159123.0
8/2016,159579.0
9/2016,159817.0
10/2016,159734.0
11/2016,159551.0
12/2016,159710.0
1/2017,159647.0
2/2017,159767.0
3/2017,160066.0
4/2017,160309.0
5/2017,160060.0
6/2017,160232.0
7/2017,160339.0
8/2017,160690.0
9/2017,161212.0
10/2017,160378.0
11/2017,160510.0
12/2017,160538.0
1/2018,161068.0
2/2018,161783.0
3/2018,161684.0
4/2018,161742.0
5/2018,161874.0
6/2018,162269.0
7/2018,162173.0
8/2018,161768.0
9/2018,162078.0
10/2018,162605.0
11/2018,162662.0
12/2018,163111.0
1/2019,163142.0
2/2019,163047.0
3/2019,162935.0
4/2019,162546.0
5/2019,162782.0
6/2019,163133.0
7/2019,163373.0
8/2019,163894.0
9/2019,164051.0
10/2019,164401.0
11/2019,164347.0
12/2019,164556.0
1/2020,164606.0
2/2020,164546.0
3/2020,162913.0
4/2020,156481.0
5/2020,158227.0
