jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,unemployment-rate,nonfarm-payroll,deaths,rpms
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,109199,0.0,24921146709.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,109435,0.0,24152394822.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,109644,0.0,29054866556.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,109686,0.0,27357814120.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,109839,0.0,27244714210.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,109856,0.0,29687458974.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,109824,0.0,31044167247.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.7,109616,0.0,32992769267.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.9,109518,0.0,25637152291.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.9,109367,0.0,27673993840.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.2,109214,0.0,26090813815.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,6.3,109166,0.0,26524031592.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4,109055,0.0,24690833884.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.6,108734,0.0,22851870317.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.8,108574,0.0,26633757227.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,108364,0.0,26917855651.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,108249,0.0,27273086713.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,108334,0.0,29182022519.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,108292,0.0,31052764465.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,108310,0.0,32395472916.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,108336,0.0,25260960319.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,108357,0.0,27158445643.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,108296,0.0,24605413752.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7.3,108328,0.0,27653975126.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,108369,0.0,24021004108.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4,108311,0.0,23326779448.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,108365,0.0,27389658761.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,108519,0.0,25852648048.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,108649,0.0,27258591732.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,108715,0.0,31836055586.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,108793,0.0,35204370003.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,108925,0.0,36614174771.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,108959,0.0,28178458289.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,109139,0.0,27509739465.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.4,109272,0.0,25825131955.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.4,109495,0.0,27145930397.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,109794,0.0,25234474049.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,110044,0.0,23965076246.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,109994,0.0,28764925057.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,110296,0.0,28422646950.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,110568,0.0,29107190528.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,110749,0.0,30726258470.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,111055,0.0,32610470971.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,111206,0.0,33636627803.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,111448,0.0,27820604777.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,111733,0.0,29723757136.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.6,111984,0.0,27824122071.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.5,112314,0.0,28716483543.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,112595,0.0,26317443145.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,112781,0.0,25354141710.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,113242,0.0,31672227550.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,113586,0.0,29886266290.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,113921,0.0,30882570308.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,114238,0.0,32963571373.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,114610,0.0,35381417794.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,114896,0.0,35939215163.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,115247,0.0,29868823812.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,115458,0.0,31905312180.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.6,115869,0.0,30436999626.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,116165,0.0,31351837548.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,116501,0.0,29094628725.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,116697,0.0,27406413484.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,116907,0.0,33352725130.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,117069,0.0,32084120312.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,117049,0.0,32129398658.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,117286,0.0,34557614090.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,117380,0.0,35792693856.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,117634,0.0,36827822646.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,117875,0.0,30034697460.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,118031,0.0,32435394324.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,118175,0.0,31034412162.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.6,118320,0.0,31907694014.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,118316,0.0,29541157118.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,118739,0.0,30531763599.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,118993,0.0,36448878709.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,119158,0.0,34353641115.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,119486,0.0,35063744052.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,119769,0.0,37125647880.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,120015,0.0,38865568593.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,120199,0.0,40030116067.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,120410,0.0,32059400145.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.2,120665,0.0,35079764444.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.4,120961,0.0,31495946126.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.4,121143,0.0,35506390664.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,121363,0.0,32390056922.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,121675,0.0,31031126559.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,121990,0.0,38703387091.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,122286,0.0,35806638683.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,122546,0.0,36507036667.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,122814,0.0,38967953883.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,123111,0.0,41238202793.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,123093,0.0,41709514211.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,123585,0.0,33524366111.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,123929,0.0,36208244990.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.6,124235,0.0,33830480412.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.7,124549,0.0,36114880123.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,124812,0.0,32626673043.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,125016,0.0,31495956511.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,125164,0.0,38369577372.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,125442,0.0,37635712121.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,125844,0.0,37972337669.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,126076,0.0,40057089981.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,126205,0.0,42326920458.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,126544,0.0,41948660757.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,126752,0.0,34205093071.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,126954,0.0,37510023229.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.4,127231,0.0,35413662912.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.4,127596,0.0,37072453879.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,127702,0.0,33924134965.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,128120,0.0,32774995512.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,128227,0.0,40443770588.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,128597,0.0,39124594362.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,128808,0.0,38917416021.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,129089,0.0,41992871493.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,129414,0.0,45023803200.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,129569,0.0,44129765076.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,129772,0.0,36419975823.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,130177,0.0,40212679156.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.1,130466,0.0,38667547293.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,130772,0.0,37976916911.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,131005,0.0,34662955361.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.1,131124,0.0,35775532735.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,131596,0.0,43616754553.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,131888,0.0,41779554346.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,132105,0.0,42864606256.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,132061,0.0,45597468417.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,132236,0.0,47247342384.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,132230,0.0,46248004926.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,132353,0.0,38123712929.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,132351,0.0,41588848453.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9,132556,0.0,40514376649.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.9,132709,0.0,39431366321.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,132698,0.0,36966493330.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,132789,0.0,35592936818.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,132747,0.0,43965366410.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,132463,0.0,42248311262.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,132410,0.0,42363342301.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,132299,0.0,45237041653.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,132177,0.0,47920709144.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,132028,0.0,48423014723.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,131771,0.0,26026300484.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.3,131454,0.0,33324164073.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5.5,131142,0.0,33889800942.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,5.7,130982,0.0,34753514418.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5.7,130852,0.0,32840752603.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.7,130736,0.0,32518584737.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.7,130717,0.0,41271421797.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.9,130623,0.0,38344358106.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5.8,130634,0.0,39770937146.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5.8,130684,0.0,42845687635.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5.8,130590,0.0,45235069906.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5.7,130587,0.0,45271518493.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,5.7,130501,0.0,34146894752.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,5.7,130628,0.0,39190921883.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,5.9,130615,0.0,36485870121.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,6.0,130472,0.0,41557477625.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5.8,130580,0.0,36379359801.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,5.9,130444,0.0,34208355577.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,5.9,130232,0.0,42036294617.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,6.0,130177,0.0,39667296207.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,6.1,130196,0.0,41120413371.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,6.3,130194,0.0,44662969306.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,6.2,130191,0.0,48500873911.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6.1,130149,0.0,47165686012.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,6.1,130254,0.0,37006895337.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,6.0,130454,0.0,41708149364.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,0,5.8,130474,0.0,39577476413.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,5.7,130588,0.0,42921694458.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5.7,130769,0.0,38377528688.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,5.6,130825,0.0,38862375955.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5.8,131142,0.0,46808799110.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5.6,131411,0.0,46107897278.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5.6,131694,0.0,45525363009.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5.6,131793,0.0,49856675317.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5.5,131848,0.0,52949238751.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5.4,131937,0.0,50986683070.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,5.4,132093,0.0,40776408784.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,5.5,132447,0.0,45983729421.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,5.4,132503,0.0,43702146771.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,5.4,132624,0.0,45315266126.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5.3,132774,0.0,41633797817.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,5.4,133032,0.0,40243024296.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,5.2,133156,0.0,50814464331.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5.2,133518,0.0,47069967552.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5.1,133690,0.0,49077424957.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,5.0,133942,0.0,52273825681.0
